                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.83693,                0.70226,                 1.0415,                 0.9517,                0.89421,                0.95683,                0.82075,                0.53667,                0.36125,                0.86221,              0.0090496,              0.0090496,              0.0090496
                     50,                0.83359,                0.69867,                 1.0333,                0.95173,                0.89432,                0.95711,                  0.821,                0.53601,                0.36062,                0.86175,              0.0090298,              0.0090298,              0.0090298
                     51,                0.83246,                0.70319,                 1.0329,                0.95212,                0.89432,                0.95717,                0.82128,                0.53529,                0.36001,                0.86117,                0.00901,                0.00901,                0.00901
                     52,                0.83314,                0.70102,                 1.0353,                0.95248,                0.89494,                0.95748,                0.82173,                0.53452,                0.35922,                 0.8606,              0.0089902,              0.0089902,              0.0089902
                     53,                0.82672,                0.68921,                 1.0304,                0.95254,                0.89516,                0.95737,                0.82216,                0.53376,                 0.3586,                0.86009,              0.0089704,              0.0089704,              0.0089704
                     54,                0.82211,                0.69519,                 1.0319,                0.95208,                0.89592,                0.95767,                0.82265,                0.53309,                0.35825,                0.85954,              0.0089506,              0.0089506,              0.0089506
                     55,                0.82702,                0.69261,                 1.0343,                0.95216,                0.89591,                0.95776,                0.82317,                0.53235,                0.35777,                0.85925,              0.0089308,              0.0089308,              0.0089308
                     56,                0.82798,                0.69305,                 1.0319,                0.95295,                0.89565,                0.95792,                0.82333,                0.53149,                0.35699,                0.85879,               0.008911,               0.008911,               0.008911
                     57,                0.82332,                0.68458,                 1.0282,                0.95337,                0.89561,                 0.9581,                0.82381,                 0.5307,                0.35633,                0.85834,              0.0088912,              0.0088912,              0.0088912
                     58,                0.82546,                0.69231,                  1.031,                0.95262,                0.89702,                0.95825,                0.82409,                0.52998,                0.35576,                0.85793,              0.0088714,              0.0088714,              0.0088714
                     59,                0.82907,                0.69615,                 1.0337,                0.95246,                 0.8971,                0.95857,                 0.8244,                0.52931,                0.35527,                0.85753,              0.0088516,              0.0088516,              0.0088516
                     60,                0.82164,                0.68355,                 1.0272,                 0.9522,                0.89806,                0.95875,                0.82489,                0.52859,                0.35477,                0.85696,              0.0088318,              0.0088318,              0.0088318
                     61,                0.82621,                0.68003,                 1.0298,                0.95172,                0.89789,                0.95871,                0.82485,                0.52787,                0.35427,                0.85657,               0.008812,               0.008812,               0.008812
                     62,                 0.8206,                 0.6855,                  1.027,                0.95186,                0.89822,                0.95887,                 0.8254,                0.52746,                0.35382,                0.85619,              0.0087922,              0.0087922,              0.0087922
                     63,                0.81141,                0.68279,                 1.0267,                0.95253,                0.89817,                0.95916,                 0.8257,                0.52694,                0.35322,                0.85577,              0.0087724,              0.0087724,              0.0087724
                     64,                0.81807,                0.68266,                 1.0252,                0.95261,                0.89785,                0.95917,                0.82588,                0.52639,                0.35276,                0.85538,              0.0087526,              0.0087526,              0.0087526
                     65,                0.81574,                 0.6788,                 1.0269,                0.95358,                0.89785,                0.95941,                0.82658,                0.52557,                 0.3523,                0.85491,              0.0087328,              0.0087328,              0.0087328
                     66,                0.81666,                0.68571,                 1.0265,                0.95268,                0.89905,                0.95964,                0.82704,                0.52492,                0.35186,                 0.8545,               0.008713,               0.008713,               0.008713
                     67,                0.81583,                0.67868,                 1.0261,                0.95328,                0.89893,                0.96002,                0.82701,                0.52424,                0.35128,                0.85409,              0.0086932,              0.0086932,              0.0086932
                     68,                0.80797,                0.67747,                 1.0214,                0.95434,                 0.8981,                0.95991,                0.82759,                0.52358,                0.35072,                0.85369,              0.0086734,              0.0086734,              0.0086734
                     69,                0.81041,                0.67906,                 1.0209,                0.95419,                0.89831,                0.96006,                0.82776,                0.52313,                0.35021,                0.85349,              0.0086536,              0.0086536,              0.0086536
                     70,                0.81539,                0.68209,                 1.0259,                0.95446,                0.89793,                0.96022,                0.82799,                0.52243,                0.34951,                0.85316,              0.0086338,              0.0086338,              0.0086338
                     71,                0.80887,                0.68319,                 1.0225,                0.95457,                0.89784,                0.96051,                0.82834,                0.52173,                0.34895,                0.85284,               0.008614,               0.008614,               0.008614
